time,gFx,gFy,gFz,TgF
13:37:54:9590,-0.1163,0.3486,1.0131,1.078
13:37:54:9620,-0.1231,0.3537,0.9967,1.065
13:37:54:9650,-0.1329,0.3528,0.9850,1.055
13:37:54:9660,-0.1400,0.3498,0.9743,1.045
13:37:54:9690,-0.1407,0.3550,0.9557,1.029
13:37:54:9710,-0.1385,0.3645,0.9313,1.010
13:37:54:9740,-0.1312,0.3701,0.9105,0.992
13:37:54:9760,-0.1239,0.3711,0.9005,0.982
13:37:54:9780,-0.1207,0.3677,0.8922,0.972
13:37:54:9810,-0.1192,0.3606,0.8841,0.962
13:37:54:9840,-0.1170,0.3533,0.8834,0.959
13:37:54:9880,-0.1146,0.3489,0.8870,0.960
13:37:54:9890,-0.1107,0.3474,0.8944,0.966
13:37:54:9920,-0.1046,0.3496,0.9044,0.975
13:37:54:9930,-0.0994,0.3537,0.9151,0.986
13:37:54:9960,-0.0941,0.3545,0.9276,0.997
13:37:54:9980,-0.0901,0.3523,0.9420,1.010
13:37:55:0000,-0.0792,0.3418,0.9608,1.023
13:37:55:0050,-0.0594,0.3215,0.9750,1.028
13:37:55:0060,-0.0550,0.3156,0.9777,1.029
13:37:55:0070,-0.0396,0.3151,0.9865,1.036
13:37:55:0100,-0.0169,0.3059,1.0016,1.047
13:37:55:0120,-0.0205,0.3081,1.0094,1.056
13:37:55:0150,-0.0257,0.3232,1.0214,1.072
13:37:55:0170,-0.0281,0.3415,1.0361,1.091
13:37:55:0190,-0.0379,0.3569,1.0458,1.106
13:37:55:0220,-0.0503,0.3686,1.0541,1.118
13:37:55:0250,-0.0625,0.3752,1.0556,1.122
13:37:55:0270,-0.0794,0.3752,1.0502,1.118
13:37:55:0290,-0.0994,0.3669,1.0405,1.108
13:37:55:0330,-0.1182,0.3567,1.0253,1.092
13:37:55:0350,-0.1349,0.3481,1.0107,1.077
13:37:55:0370,-0.1471,0.3418,0.9940,1.061
13:37:55:0400,-0.1554,0.3405,0.9733,1.043
13:37:55:0420,-0.1625,0.3405,0.9550,1.027
13:37:55:0440,-0.1661,0.3393,0.9410,1.014
13:37:55:0460,-0.1676,0.3391,0.9295,1.004
13:37:55:0490,-0.1673,0.3371,0.9200,0.994
13:37:55:0520,-0.1038,0.2875,0.9049,0.955
13:37:55:0540,-0.0794,0.2548,0.9088,0.947
13:37:55:0560,-0.1261,0.2897,0.9327,0.985
13:37:55:0590,-0.1410,0.3300,0.9349,1.001
13:37:55:0610,-0.1532,0.3662,0.9146,0.997
13:37:55:0640,-0.1573,0.3909,0.8902,0.985
13:37:55:0660,-0.1629,0.4048,0.8824,0.984
13:37:55:0690,-0.1788,0.4065,0.8907,0.995
13:37:55:0709,-0.1888,0.3899,0.8927,0.992
13:37:55:0730,-0.1932,0.3669,0.8858,0.978
13:37:55:0750,-0.1942,0.3491,0.8758,0.963
13:37:55:0780,-0.1906,0.3386,0.8626,0.946
13:37:55:0800,-0.1862,0.3376,0.8501,0.933
13:37:55:0830,-0.1862,0.3430,0.8418,0.928
13:37:55:0850,-0.1915,0.3513,0.8382,0.929
13:37:55:0869,-0.1969,0.3618,0.8382,0.934
13:37:55:0900,-0.1974,0.3684,0.8409,0.939
13:37:55:0920,-0.1888,0.3721,0.8467,0.944
13:37:55:0950,-0.1756,0.3738,0.8519,0.947
13:37:55:0970,-0.1627,0.3718,0.8548,0.946
13:37:55:0990,-0.1510,0.3682,0.8560,0.944
13:37:55:1050,-0.1422,0.3618,0.8536,0.938
13:37:55:1060,-0.1334,0.3550,0.8501,0.931
13:37:55:1080,-0.1263,0.3486,0.8465,0.924
13:37:55:1140,-0.1229,0.3457,0.8428,0.919
13:37:55:1150,-0.1185,0.3491,0.8404,0.918
13:37:55:1150,-0.1129,0.3555,0.8396,0.919
13:37:55:1170,-0.1050,0.3620,0.8428,0.923
13:37:55:1300,-0.1016,0.3674,0.8494,0.931
13:37:55:1310,-0.1036,0.3699,0.8572,0.939
13:37:55:1310,-0.1063,0.3706,0.8668,0.949
13:37:55:1310,-0.1102,0.3699,0.8782,0.959
13:37:55:1320,-0.1143,0.3669,0.8890,0.969
13:37:55:1320,-0.1178,0.3633,0.8997,0.977
13:37:55:1340,-0.1217,0.3562,0.9112,0.986
13:37:55:1390,-0.1273,0.3462,0.9193,0.991
13:37:55:1400,-0.1290,0.3405,0.9220,0.991
13:37:55:1409,-0.1241,0.3401,0.9210,0.990
13:37:55:1429,-0.1163,0.3418,0.9159,0.984
13:37:55:1460,-0.1082,0.3435,0.9061,0.975
13:37:55:1480,-0.0999,0.3440,0.8951,0.964
13:37:55:1510,-0.0958,0.3430,0.8900,0.959
13:37:55:1530,-0.0987,0.3383,0.8922,0.959
13:37:55:1560,-0.1060,0.3332,0.8961,0.962
13:37:55:1580,-0.1141,0.3308,0.8993,0.965
13:37:55:1600,-0.1187,0.3325,0.9029,0.969
13:37:55:1630,-0.1187,0.3398,0.9044,0.973
13:37:55:1650,-0.1136,0.3493,0.9046,0.976
13:37:55:1690,-0.1063,0.3564,0.9015,0.975
13:37:55:1700,-0.1002,0.3608,0.8966,0.972
13:37:55:1729,-0.1004,0.3598,0.8934,0.968
13:37:55:1750,-0.1060,0.3562,0.8902,0.965
13:37:55:1780,-0.1124,0.3550,0.8909,0.966
13:37:55:1800,-0.1178,0.3559,0.8951,0.970
13:37:55:1830,-0.1199,0.3589,0.9022,0.978
13:37:55:1860,-0.1197,0.3647,0.9142,0.991
13:37:55:1880,-0.1178,0.3704,0.9276,1.006
13:37:55:1910,-0.1156,0.3735,0.9364,1.015
13:37:55:1930,-0.1131,0.3762,0.9422,1.021
13:37:55:1950,-0.1116,0.3787,0.9425,1.022
13:37:55:1970,-0.1097,0.3791,0.9361,1.016
13:37:55:1990,-0.1082,0.3782,0.9261,1.006
13:37:55:2050,-0.1085,0.3757,0.9146,0.995
13:37:55:2050,-0.1068,0.3738,0.9056,0.986
13:37:55:2090,-0.1097,0.3772,0.9005,0.982
13:37:55:2100,-0.1097,0.3774,0.9015,0.983
13:37:55:2120,-0.1033,0.3723,0.9012,0.981
13:37:55:2140,-0.0997,0.3686,0.8941,0.972
13:37:55:2160,-0.1004,0.3669,0.8878,0.966
13:37:55:2230,-0.1041,0.3706,0.8868,0.967
13:37:55:2230,-0.1033,0.3796,0.8873,0.971
13:37:55:2240,-0.1019,0.3884,0.8831,0.970
13:37:55:2260,-0.1024,0.3928,0.8758,0.965
13:37:55:2280,-0.1050,0.3950,0.8699,0.961
13:37:55:2300,-0.1092,0.3955,0.8697,0.962
13:37:55:2330,-0.1124,0.3965,0.8712,0.964
13:37:55:2350,-0.1138,0.3972,0.8704,0.964
13:37:55:2380,-0.1119,0.3989,0.8702,0.964
13:37:55:2400,-0.1048,0.4028,0.8704,0.965
13:37:55:2430,-0.0977,0.4028,0.8692,0.963
13:37:55:2450,-0.0931,0.3970,0.8658,0.957
13:37:55:2470,-0.0904,0.3901,0.8599,0.949
13:37:55:2500,-0.0892,0.3843,0.8509,0.938
13:37:55:2520,-0.0899,0.3828,0.8433,0.930
13:37:55:2550,-0.0909,0.3899,0.8445,0.935
13:37:55:2570,-0.0909,0.3997,0.8533,0.947
13:37:55:2590,-0.0919,0.4050,0.8558,0.951
13:37:55:2620,-0.0953,0.4072,0.8487,0.946
13:37:55:2640,-0.1014,0.4075,0.8370,0.936
13:37:55:2670,-0.1065,0.4063,0.8257,0.926
13:37:55:2690,-0.1099,0.4053,0.8186,0.920
13:37:55:2720,-0.1102,0.4031,0.8091,0.911
13:37:55:2740,-0.1082,0.4043,0.7969,0.900
13:37:55:2760,-0.1072,0.4099,0.7940,0.900
13:37:55:2790,-0.1082,0.4148,0.8013,0.909
13:37:55:2810,-0.1143,0.4160,0.8047,0.913
13:37:55:2870,-0.1231,0.4114,0.8037,0.911
13:37:55:2880,-0.1295,0.4116,0.8116,0.919
13:37:55:2890,-0.1331,0.4177,0.8284,0.937
13:37:55:2920,-0.1349,0.4190,0.8392,0.948
13:37:55:2940,-0.1356,0.4143,0.8406,0.947
13:37:55:2960,-0.1305,0.4116,0.8494,0.953
13:37:55:2980,-0.1190,0.4107,0.8643,0.964
13:37:55:3020,-0.1046,0.4107,0.8797,0.976
13:37:55:3030,-0.0855,0.4109,0.8963,0.990
13:37:55:3060,-0.0664,0.4070,0.9088,0.998
13:37:55:3080,-0.0515,0.4016,0.9215,1.007
13:37:55:3110,-0.0371,0.3965,0.9335,1.015
