time,gFx,gFy,gFz,TgF
13:44:50:7320,-0.0774,0.3892,0.7180,0.820
13:44:50:7340,-0.0596,0.4605,0.7813,0.909
13:44:50:7360,-0.0784,0.4976,0.8284,0.970
13:44:50:7390,-0.1046,0.5120,0.8555,1.003
13:44:50:7410,-0.1349,0.5113,0.8765,1.024
13:44:50:7440,-0.1732,0.4984,0.8941,1.038
13:44:50:7460,-0.2160,0.4781,0.9015,1.043
13:44:50:7510,-0.2546,0.4549,0.8980,1.038
13:44:50:7510,-0.2875,0.4304,0.8848,1.025
13:44:50:7530,-0.3093,0.4068,0.8631,1.003
13:44:50:7560,-0.3110,0.3862,0.8421,0.977
13:44:50:7580,-0.3024,0.3706,0.8294,0.957
13:44:50:7610,-0.2939,0.3601,0.8181,0.941
13:44:50:7630,-0.2878,0.3545,0.8050,0.925
13:44:50:7660,-0.2839,0.3518,0.7952,0.915
13:44:50:7680,-0.2790,0.3462,0.7813,0.899
13:44:50:7700,-0.2709,0.3383,0.7600,0.875
13:44:50:7730,-0.2673,0.3298,0.7571,0.868
13:44:50:7750,-0.2721,0.3200,0.7725,0.879
13:44:50:7770,-0.2765,0.3112,0.7835,0.887
13:44:50:7800,-0.2768,0.3039,0.7905,0.891
13:44:50:7850,-0.2790,0.2976,0.8047,0.902
13:44:50:7850,-0.2817,0.2910,0.8208,0.915
13:44:50:7870,-0.2802,0.2878,0.8296,0.922
13:44:50:7900,-0.2761,0.2885,0.8370,0.927
13:44:50:7920,-0.2751,0.2892,0.8487,0.938
13:44:50:7940,-0.2770,0.2924,0.8602,0.950
13:44:50:7970,-0.2802,0.2966,0.8660,0.957
13:44:50:7990,-0.2751,0.2902,0.8230,0.915
13:44:50:8020,-0.2726,0.2844,0.7883,0.881
13:44:50:8040,-0.2792,0.2841,0.8145,0.907
13:44:50:8070,-0.2848,0.2795,0.8260,0.917
13:44:50:8090,-0.2902,0.2736,0.8162,0.908
13:44:50:8110,-0.2902,0.2704,0.7981,0.891
13:44:50:8139,-0.2873,0.2721,0.7813,0.876
13:44:50:8169,-0.2866,0.2753,0.7791,0.875
13:44:50:8189,-0.2905,0.2765,0.7883,0.884
13:44:50:8210,-0.2951,0.2780,0.7984,0.895
13:44:50:8240,-0.2963,0.2800,0.7971,0.895
13:44:50:8260,-0.2927,0.2831,0.7874,0.886
13:44:50:8280,-0.2858,0.2880,0.7776,0.877
13:44:50:8340,-0.2597,0.2836,0.8101,0.897
13:44:50:8340,-0.2189,0.2836,0.8453,0.918
13:44:50:8360,-0.1991,0.2907,0.8233,0.896
13:44:50:8380,-0.1920,0.2929,0.7813,0.856
13:44:50:8410,-0.1859,0.2961,0.7358,0.815
13:44:50:8450,-0.1898,0.2988,0.6865,0.772
13:44:50:8460,-0.1954,0.2983,0.6283,0.722
13:44:50:8520,-0.2011,0.3015,0.5907,0.693
13:44:50:8520,-0.2081,0.3049,0.5792,0.687
13:44:50:8540,-0.2160,0.3027,0.5834,0.692
13:44:50:8550,-0.2279,0.3000,0.6044,0.712
13:44:50:8610,-0.2384,0.2980,0.6344,0.740
13:44:50:8610,-0.2460,0.2971,0.6767,0.779
13:44:50:8630,-0.2521,0.3010,0.7224,0.822
13:44:50:8650,-0.2538,0.3073,0.7734,0.870
13:44:50:8700,-0.2538,0.3117,0.8265,0.919
13:44:50:8700,-0.2526,0.3161,0.8790,0.968
13:44:50:8730,-0.2494,0.3125,0.9291,1.011
13:44:50:8770,-0.2433,0.3037,0.9640,1.040
13:44:50:8790,-0.2335,0.2934,0.9899,1.059
13:44:50:8850,-0.2262,0.2817,1.0326,1.094
13:44:50:8850,-0.2164,0.2731,1.0571,1.113
13:44:50:8850,-0.1989,0.2629,1.0546,1.105
13:44:50:8910,-0.1774,0.2531,1.0637,1.108
13:44:50:8930,-0.1559,0.2419,1.0891,1.126
13:44:50:8930,-0.1312,0.2270,1.1218,1.152
13:44:50:8950,-0.0901,0.2091,1.0378,1.062
13:44:50:8960,0.0034,0.2101,0.6799,0.712
13:44:50:9040,0.1268,0.2753,0.3454,0.460
13:44:50:9040,0.2101,0.3410,0.3689,0.545
13:44:50:9040,0.2433,0.3459,0.5997,0.734
13:44:50:9070,0.2445,0.3269,0.8782,0.968
13:44:50:9080,0.2169,0.3027,1.1433,1.202
13:44:50:9110,0.1752,0.2844,1.3207,1.362
13:44:50:9130,0.1327,0.2761,1.4169,1.450
13:44:50:9160,0.0897,0.2807,1.4602,1.490
13:44:50:9180,0.0420,0.2922,1.4624,1.492
13:44:50:9200,-0.0198,0.2956,1.4511,1.481
13:44:50:9230,-0.0867,0.2980,1.4387,1.472
13:44:50:9250,-0.1466,0.3095,1.4128,1.454
13:44:50:9280,-0.1891,0.3266,1.3800,1.431
13:44:50:9310,-0.2089,0.3506,1.3869,1.446
13:44:50:9330,-0.2050,0.3789,1.4184,1.482
13:44:50:9350,-0.1832,0.4038,1.4443,1.511
13:44:50:9390,-0.1583,0.4229,1.4570,1.525
13:44:50:9400,-0.1392,0.4356,1.4648,1.535
13:44:50:9430,-0.1173,0.4422,1.4753,1.545
13:44:50:9450,-0.0857,0.4412,1.4809,1.548
13:44:50:9470,-0.0515,0.4339,1.4978,1.560
13:44:50:9540,-0.0161,0.4214,1.5029,1.561
13:44:50:9550,0.0237,0.3989,1.4755,1.529
13:44:50:9550,0.0635,0.3679,1.4440,1.492
13:44:50:9570,0.0933,0.3349,1.4282,1.470
13:44:50:9590,0.1190,0.3010,1.4289,1.465
13:44:50:9620,0.1510,0.2668,1.4347,1.467
13:44:50:9640,0.1837,0.2313,1.4401,1.470
13:44:50:9670,0.2152,0.1952,1.4492,1.478
13:44:50:9690,0.2472,0.1585,1.4624,1.492
13:44:50:9720,0.2758,0.1236,1.4677,1.499
13:44:50:9740,0.3010,0.0933,1.4545,1.488
13:44:50:9770,0.3193,0.0682,1.4252,1.462
13:44:50:9790,0.3293,0.0467,1.3852,1.425
13:44:50:9990,0.3327,0.0286,1.3375,1.379
13:44:51:0000,0.3247,0.0154,1.2904,1.331
13:44:51:0000,0.3037,0.0076,1.2501,1.286
13:44:51:0000,0.2743,0.0044,1.2142,1.245
13:44:51:0000,0.2443,0.0029,1.1780,1.203
13:44:51:0000,0.2164,0.0039,1.1506,1.171
13:44:51:0000,0.1910,0.0064,1.1267,1.143
13:44:51:0000,0.1695,0.0081,1.0918,1.105
13:44:51:0010,0.1515,0.0144,1.0449,1.056
13:44:51:0030,0.1358,0.0296,0.9872,0.997
13:44:51:0060,0.1160,0.0503,0.9193,0.928
13:44:51:0090,0.0894,0.0689,0.8543,0.862
13:44:51:0110,0.0640,0.0850,0.8037,0.811
13:44:51:0140,0.0398,0.1038,0.7690,0.777
13:44:51:0160,0.0093,0.1243,0.7583,0.768
13:44:51:0180,-0.0278,0.1446,0.7678,0.782
13:44:51:0200,-0.0567,0.1598,0.7857,0.804
13:44:51:0230,-0.0645,0.1649,0.7949,0.814
13:44:51:0250,-0.0579,0.1669,0.7920,0.811
13:44:51:0270,-0.0384,0.1744,0.7771,0.797
13:44:51:0300,-0.0105,0.1852,0.7490,0.772
13:44:51:0500,0.0073,0.1949,0.7114,0.738
