time,gFx,gFy,gFz,TgF
13:44:10:2839,0.2169,0.3498,0.8753,0.967
13:44:10:2839,0.2502,0.3511,0.9022,1.000
13:44:10:2849,0.2848,0.3540,0.9303,1.035
13:44:10:2880,0.3105,0.3540,0.9457,1.056
13:44:10:2900,0.3298,0.3528,0.9496,1.065
13:44:10:2920,0.3474,0.3533,0.9545,1.075
13:44:10:2940,0.3611,0.3508,0.9757,1.098
13:44:10:2970,0.3728,0.3481,1.0019,1.124
13:44:10:2990,0.3857,0.3476,1.0260,1.150
13:44:10:3010,0.3906,0.3476,1.0522,1.175
13:44:10:3040,0.3838,0.3459,1.0773,1.195
13:44:10:3060,0.3689,0.3415,1.0986,1.208
13:44:10:3080,0.3469,0.3325,1.1152,1.214
13:44:10:3120,0.3183,0.3205,1.1299,1.217
13:44:10:3140,0.2890,0.3088,1.1418,1.218
13:44:10:3160,0.2638,0.2985,1.1501,1.217
13:44:10:3180,0.2431,0.2912,1.1548,1.215
13:44:10:3210,0.2277,0.2870,1.1538,1.211
13:44:10:3230,0.2164,0.2870,1.1455,1.201
13:44:10:3260,0.2079,0.2917,1.1335,1.189
13:44:10:3290,0.2008,0.2978,1.1221,1.178
13:44:10:3320,0.1945,0.3068,1.1071,1.165
13:44:10:3330,0.1869,0.3178,1.0900,1.151
13:44:10:3350,0.1774,0.3291,1.0722,1.136
13:44:10:3380,0.1664,0.3398,1.0519,1.118
13:44:10:3400,0.1534,0.3513,1.0329,1.102
13:44:10:3430,0.1390,0.3642,1.0190,1.091
13:44:10:3469,0.1248,0.3787,1.0060,1.082
13:44:10:3479,0.1121,0.3914,0.9960,1.076
13:44:10:3500,0.0997,0.4011,0.9887,1.072
13:44:10:3530,0.0882,0.4111,0.9813,1.068
13:44:10:3550,0.0811,0.4214,0.9752,1.065
13:44:10:3570,0.0738,0.4312,0.9706,1.065
13:44:10:3600,0.0642,0.4407,0.9701,1.067
13:44:10:3660,0.0564,0.4507,0.9718,1.073
13:44:10:3670,0.0515,0.4595,0.9745,1.079
13:44:10:3680,0.0496,0.4666,0.9804,1.087
13:44:10:3700,0.0518,0.4730,0.9904,1.099
13:44:10:3720,0.0579,0.4776,1.0011,1.111
