time,gFx,gFy,gFz,TgF
13:45:34:8940,-0.0738,0.2489,0.9410,0.976
13:45:34:8960,-0.0745,0.2477,0.9403,0.975
13:45:34:8980,-0.0723,0.2480,0.9396,0.974
13:45:34:9010,-0.0660,0.2480,0.9393,0.974
13:45:34:9030,-0.0601,0.2489,0.9415,0.976
13:45:34:9060,-0.0574,0.2487,0.9454,0.979
13:45:34:9080,-0.0557,0.2477,0.9501,0.983
13:45:34:9110,-0.0555,0.2441,0.9528,0.985
13:45:34:9130,-0.0562,0.2401,0.9537,0.985
13:45:34:9150,-0.0559,0.2384,0.9537,0.985
13:45:34:9180,-0.0591,0.2379,0.9545,0.985
13:45:34:9200,-0.0677,0.2387,0.9576,0.989
13:45:34:9230,-0.0799,0.2419,0.9608,0.994
13:45:34:9260,-0.0928,0.2467,0.9586,0.994
13:45:34:9280,-0.1016,0.2553,0.9479,0.987
13:45:34:9300,-0.1092,0.2660,0.9276,0.971
13:45:34:9330,-0.1146,0.2731,0.8958,0.944
13:45:34:9350,-0.1192,0.2758,0.8609,0.912
13:45:34:9370,-0.1285,0.2783,0.8313,0.886
13:45:34:9400,-0.1383,0.2797,0.8030,0.861
13:45:34:9430,-0.1458,0.2795,0.7773,0.839
13:45:34:9450,-0.1546,0.2802,0.7590,0.824
13:45:34:9470,-0.1642,0.2819,0.7451,0.813
13:45:34:9490,-0.1730,0.2836,0.7341,0.806
13:45:34:9520,-0.1781,0.2875,0.7260,0.801
13:45:34:9540,-0.1793,0.2922,0.7187,0.796
13:45:34:9580,-0.1830,0.2929,0.7136,0.793
13:45:34:9590,-0.1915,0.2934,0.7107,0.792
13:45:34:9620,-0.2013,0.2973,0.7065,0.793
13:45:34:9640,-0.2084,0.3032,0.7028,0.793
13:45:34:9670,-0.2113,0.3120,0.7045,0.799
13:45:34:9690,-0.2111,0.3200,0.7116,0.808
13:45:34:9720,-0.2074,0.3247,0.7253,0.821
13:45:34:9740,-0.2035,0.3244,0.7427,0.836
13:45:34:9780,-0.2015,0.3159,0.7610,0.848
13:45:34:9790,-0.2052,0.3000,0.7722,0.853
13:45:34:9810,-0.2372,0.2563,0.7773,0.852
13:45:34:9840,-0.2961,0.2177,0.7852,0.867
13:45:34:9860,-0.2643,0.2279,0.7920,0.866
13:45:34:9880,-0.2186,0.2416,0.8006,0.864
13:45:34:9910,-0.2201,0.2416,0.8181,0.881
13:45:34:9930,-0.2040,0.2431,0.8404,0.898
13:45:34:9960,-0.2047,0.2414,0.8538,0.911
13:45:34:9980,-0.2120,0.2370,0.8543,0.912
13:45:35:0000,-0.2238,0.2313,0.8438,0.903
13:45:35:0030,-0.2299,0.2267,0.8199,0.881
13:45:35:0060,-0.2274,0.2248,0.7879,0.850
13:45:35:0080,-0.2238,0.2199,0.7629,0.825
13:45:35:0100,-0.2248,0.2118,0.7390,0.801
13:45:35:0130,-0.2230,0.2062,0.7207,0.782
13:45:35:0150,-0.2186,0.2025,0.7173,0.777
13:45:35:0170,-0.2240,0.2055,0.7256,0.787
13:45:35:0200,-0.2377,0.2116,0.7429,0.808
13:45:35:0230,-0.2504,0.2167,0.7505,0.820
13:45:35:0250,-0.2590,0.2262,0.7417,0.818
13:45:35:0270,-0.2646,0.2372,0.7297,0.812
13:45:35:0300,-0.2704,0.2472,0.7151,0.803
13:45:35:0320,-0.2719,0.2543,0.7026,0.795
13:45:35:0340,-0.2692,0.2626,0.7182,0.811
